,Time_index,Frequency,Bandwidth,Amplitude
52,"[52, 52, 52, 52, 52]","[18, 160, 298, 455, 549]","[15.649055097788922, 24.258541546872323, 130.4643077733452, 22.114201295776297, 43.099402381471464]","[46.68330493192757, 1.133601115974205, 0.813656073744187, 0.7324564939172016, 0.7749083273586448]"
53,"[53, 53, 53, 53]","[18, 161, 301, 547]","[15.990198479850745, 24.212235639192784, 114.54653520008182, 43.38028371792723]","[49.60699206249193, 1.1537812519138158, 0.8771390359372144, 0.805345454590951]"
54,"[54, 54, 54, 54]","[19, 161, 301, 542]","[16.73572018854422, 24.196967287372644, 111.56913900854849, 64.39857377615004]","[51.172840574273415, 1.1494862149560277, 0.8778013734740443, 0.8645915366609003]"
55,"[55, 55, 55, 55]","[19, 161, 301, 540]","[17.2613815672223, 24.166884026946065, 84.57542833660068, 63.046142440484516]","[56.05268747837926, 1.0893667158258524, 0.8867246898022012, 0.8679413808199334]"
56,"[56, 56, 56, 56]","[19, 161, 302, 539]","[17.51342334286832, 23.777363013547756, 81.753517269902, 63.549244306996]","[58.186093144869965, 0.9422033869563085, 0.9034827297195338, 0.8708367606792644]"
57,"[57, 57, 57, 57]","[20, 161, 301, 539]","[17.83294297575282, 23.115225986269394, 107.61679104707952, 60.95330399226469]","[59.383644528516015, 0.8646232659736233, 0.9165114568048027, 0.8929470251377738]"
58,"[58, 58, 58, 58]","[20, 161, 301, 539]","[18.248343442094598, 22.39091723932293, 72.25685534015727, 62.4370104646477]","[60.46960062121777, 0.8511228156215368, 0.9016244046005302, 0.9069240677657797]"
59,"[59, 59, 59, 59]","[20, 161, 301, 539]","[18.086293825102103, 22.358613158379598, 107.46706798740217, 58.902184039304245]","[62.66436800266037, 0.8277726617943875, 0.9101092880721878, 0.9098375269953253]"
60,"[60, 60, 60, 60]","[20, 161, 302, 539]","[17.77522429232364, 22.467660246490368, 78.743061147236, 57.27374601789688]","[65.5591353729695, 0.7212803328352568, 0.9284778999284089, 0.9333795652080004]"
61,"[61, 61, 61]","[20, 301, 534]","[17.606999839176428, 68.65342072861591, 62.45163850639835]","[65.70900664620734, 0.9883194145411571, 1.0665800002020098]"
62,"[62, 62, 62]","[20, 302, 477]","[17.36507954627696, 63.20271373245146, 93.10404215980998]","[65.20662598957202, 1.0210901720771082, 1.839704096785044]"
63,"[63, 63, 63]","[20, 302, 471]","[16.973987971857525, 54.606349246086324, 45.81236827410942]","[63.47214269031338, 1.0588438845154062, 3.178416426487972]"
64,"[64, 64, 64]","[20, 301, 471]","[16.754279692397894, 47.910455605803804, 42.99194932477752]","[61.595496919473604, 1.0179084271302872, 3.354775406418475]"
65,"[65, 65, 65]","[19, 299, 470]","[16.473708760309073, 56.50684893932288, 38.82262657497523]","[60.91827474787381, 0.9169751060592245, 3.865573928460459]"
66,"[66, 66, 66, 66]","[19, 162, 302, 469]","[16.359282265707563, 22.942027983441562, 55.756866606573396, 35.57074127701185]","[59.42087888740694, 0.7832671239629263, 0.9140919234342303, 4.408244723705306]"
67,"[67, 67, 67, 67]","[20, 162, 304, 469]","[16.52496899435244, 22.17170382045225, 57.017877549676996, 34.95054545891844]","[61.2699959236959, 0.8197549693693369, 0.9225328920746618, 4.459458073765109]"
68,"[68, 68, 68, 68]","[20, 307, 469, 610]","[16.685383308376416, 90.76311869725797, 34.95034369543606, 37.41855911196251]","[61.43426829747742, 0.8930250068723495, 4.485386129538747, 0.9726428721872102]"
69,"[69, 69, 69, 69]","[20, 313, 469, 613]","[16.966772092772736, 97.30718149294208, 40.05668143189695, 35.77247568399525]","[58.67680805600405, 0.8447799439721857, 4.905089615956394, 1.2517656656865657]"
70,"[70, 70, 70, 70]","[20, 317, 470, 613]","[16.807170935684585, 100.05062856834016, 43.55779676690935, 34.080955846272445]","[56.42003516156301, 0.8258414538917287, 7.089347654120567, 1.2939644523616551]"
71,"[71, 71, 71, 71]","[19, 318, 469, 612]","[15.963484839545968, 100.36310394224196, 42.39634024881616, 32.618430696925884]","[52.081818727748015, 0.8152531386968848, 7.862779699797575, 1.3031961276729955]"
72,"[72, 72, 72, 72]","[19, 319, 469, 612]","[15.515622504642362, 96.17242720293399, 42.22766791160734, 33.14346254501356]","[45.54995576558506, 0.8175858670908043, 7.87643653917891, 1.3735482830533896]"
73,"[73, 73, 73, 73, 73]","[19, 160, 319, 469, 606]","[15.506339437881966, 20.031301862252604, 92.0022667491142, 42.65278883095675, 38.45764635053774]","[43.64415401841089, 0.8674228172618914, 0.8237176892705318, 8.183724726764524, 1.7778664192264508]"
74,"[74, 74, 74, 74, 74]","[19, 160, 319, 470, 604]","[15.538893305584542, 21.17350596646199, 103.02664123495396, 46.658531304930364, 38.917041621527346]","[44.23211682191628, 0.8859314261086122, 0.7977705473222667, 8.758170774993928, 1.936145183427055]"
75,"[75, 75, 75, 75, 75]","[19, 160, 286, 470, 604]","[16.368803588285125, 22.509622369056075, 85.75027188039928, 46.01428117459932, 38.62373453073985]","[46.6654568053705, 0.9154307854269608, 0.845042651218088, 9.20798518025104, 1.9489219055120672]"
76,"[76, 76, 76, 76, 76]","[20, 160, 282, 471, 604]","[16.920194403130118, 22.227971127143945, 79.06632337053969, 46.25894328569922, 38.695946819325286]","[50.63595069242082, 0.9325600323686372, 0.9283837838474878, 9.231945655158068, 1.9951822705339877]"
77,"[77, 77, 77, 77, 77]","[20, 160, 279, 471, 607]","[16.90767028928564, 21.92272209796164, 79.28276828395349, 47.23460546742689, 38.88309268241835]","[54.51849745189535, 0.9327932365448993, 0.9199311447622883, 9.33557251375706, 2.094755982819246]"
78,"[78, 78, 78, 78, 78]","[20, 159, 276, 472, 606]","[16.924047886484196, 21.665507959000365, 51.90958556759287, 47.061814922416204, 39.137470380251784]","[54.91542509184442, 0.9071686323159303, 0.9292566370245595, 9.56117968442868, 1.8820718508929795]"
79,"[79, 79, 79, 79, 79]","[20, 159, 276, 472, 608]","[17.056695374724683, 21.23684822591784, 50.14841001475688, 49.39353112950215, 39.04388641370497]","[55.860323950950985, 0.8778384917351203, 0.932782109863707, 7.961096259910635, 1.7898568648634576]"
80,"[80, 80, 80, 80, 80]","[20, 159, 276, 474, 610]","[17.215755343213196, 21.04986320170508, 52.11971194248454, 50.91182648397228, 38.62849882704381]","[57.057783968643555, 0.881261536623906, 0.9150567441315239, 8.735423167200063, 1.875759304238928]"
81,"[81, 81, 81, 81, 81]","[20, 159, 276, 471, 611]","[17.33623894932035, 21.17585999045295, 50.802229493919384, 52.139516630262506, 38.661577338439656]","[57.91541297225915, 0.8744762133757886, 0.9116194681033378, 10.205499041359337, 1.980992461439671]"
82,"[82, 82, 82, 82, 82]","[20, 158, 277, 472, 612]","[17.416055043129994, 21.456998288268863, 49.528782966157934, 54.80746785402113, 42.79066776072705]","[60.83461109854796, 0.858303674515175, 0.9205710492172918, 9.70063446918671, 2.022404964102]"
83,"[83, 83, 83, 83]","[20, 279, 477, 612]","[17.306697569688353, 47.18960139649096, 55.733578654817734, 42.66496683655248]","[63.36274807413595, 0.9429304769489069, 9.499450400490344, 2.069614820635494]"
84,"[84, 84, 84, 84]","[20, 280, 479, 612]","[17.409989382158706, 47.77591027133769, 54.11543162916797, 41.80818839708729]","[63.90184549044221, 0.9436550846421564, 10.131177088387208, 2.0980396527849066]"
85,"[85, 85, 85, 85]","[20, 281, 478, 612]","[17.42169624681251, 48.36077067353909, 53.614761115457895, 43.32864855429648]","[66.00597157512084, 0.9267641630153727, 10.313752289670271, 1.972136627410761]"
86,"[86, 86, 86, 86]","[20, 280, 476, 611]","[17.440359470434483, 49.335672740497245, 52.82904374157607, 49.932495798653235]","[68.54115524834025, 0.9137756146105045, 9.437996282484095, 1.7991467331634874]"
87,"[87, 87, 87, 87]","[20, 281, 481, 610]","[17.993609658407102, 89.94131336193809, 53.969306582744935, 49.33788569506021]","[69.78212924157857, 0.9369973510416125, 7.447665142010914, 1.880495365822527]"
88,"[88, 88, 88, 88]","[21, 281, 482, 610]","[18.226522790216755, 99.85330473870476, 52.62092738320058, 50.8856283621584]","[71.91489748606408, 0.9049882056584155, 7.2065638705661526, 1.8853521884319773]"
89,"[89, 89, 89, 89]","[21, 280, 483, 611]","[18.222226038482596, 99.73483927052135, 52.503677102972006, 50.00919346834644]","[73.98743473014433, 0.8895899744179899, 7.198853388429085, 1.766151336424195]"
90,"[90, 90, 90, 90]","[21, 279, 482, 615]","[18.08796318533576, 100.98812824680573, 50.82679361296272, 44.894293133217275]","[73.0516205874644, 0.846127860491853, 6.927550062849594, 1.3948518045079545]"
91,"[91, 91, 91, 91]","[20, 279, 482, 616]","[17.75690687172693, 101.24751784794833, 51.15243415984719, 47.29194733389647]","[69.60500159774124, 0.8096266865985118, 6.01109736923597, 1.3252643567164215]"
92,"[92, 92, 92, 92]","[20, 297, 483, 617]","[17.40143463647415, 139.269272146836, 52.363483484107746, 43.45536744194817]","[64.89308817476476, 0.7045762601699038, 5.638993247849858, 1.402819181911293]"
93,"[93, 93, 93, 93, 93]","[20, 157, 299, 483, 617]","[17.213823218446883, 20.65265496009866, 109.15121965773136, 53.635971924619355, 33.83749516453281]","[57.744269831487046, 0.750914062255412, 0.721884669140549, 5.715573918683701, 1.4422444425841943]"
94,"[94, 94, 94, 94, 94]","[20, 156, 300, 485, 616]","[17.343552008048803, 20.71844158030163, 104.3607767884125, 57.1538556170392, 31.43942872956916]","[53.81236298941279, 0.7833424283022614, 0.7543003106957037, 5.836204143465746, 1.240704785635204]"
95,"[95, 95, 95, 95, 95]","[20, 157, 301, 484, 616]","[17.81427508552443, 20.716633586516252, 94.60206377415062, 59.39336944850015, 30.586738873003128]","[52.56870215127524, 0.7745436383277161, 0.78409092282285, 5.3071574021930354, 1.2013969837475056]"
96,"[96, 96, 96, 96, 96]","[20, 157, 303, 481, 616]","[17.92025206239508, 20.764537841918155, 88.39839126125906, 60.85428190999943, 29.759792193181283]","[51.86621545271517, 0.7685636117755026, 0.830640249107547, 4.9491798935338585, 1.0933595346944065]"
97,"[97, 97, 97, 97]","[20, 157, 303, 488]","[17.80883401011789, 20.711461153812166, 78.74816780462118, 88.84597959702262]","[51.92926937350042, 0.7609645177141886, 0.853748956044172, 2.921571726593885]"
98,"[98, 98, 98, 98]","[20, 157, 304, 491]","[17.882503588349422, 21.141255868814056, 66.15885257949526, 80.09408969521405]","[50.844600892023635, 0.8007662828451488, 0.858076504505452, 2.291020699952652]"
99,"[99, 99, 99, 99]","[20, 157, 305, 489]","[17.935851255465977, 21.98547743767034, 63.83182825448853, 82.15850612554823]","[50.83549434060747, 0.8607575995368596, 0.9263723971305208, 2.1549941782783684]"
100,"[100, 100, 100, 100]","[20, 157, 305, 492]","[17.62004442123277, 22.230234597159978, 39.19007649890062, 111.54085174019235]","[48.62913264703974, 0.881489191387401, 0.9605083680149401, 1.7899608864351]"
101,"[101, 101, 101, 101]","[19, 157, 305, 534]","[16.854751253749814, 22.00401835549178, 35.96672322969761, 98.88589744229586]","[46.068491065361506, 0.8542596377090097, 0.9546919831220558, 1.6903987516488668]"
102,"[102, 102, 102, 102]","[19, 157, 304, 534]","[16.203058094941433, 22.156451477178592, 35.78755128396563, 95.48429195568019]","[41.75506591686507, 0.8764829424668736, 0.9550857610211699, 1.7001286604316266]"
103,"[103, 103, 103, 103]","[18, 157, 305, 534]","[15.695036549264882, 22.992300042924427, 38.493006360563186, 96.05336411275817]","[38.33451549157474, 0.9075592204263253, 0.952965483859438, 1.6933840529215347]"
104,"[104, 104, 104, 104]","[18, 158, 309, 534]","[15.673147933197924, 23.581797464442275, 40.046717397747216, 73.282753190895]","[38.90277039338877, 0.9325240456171743, 0.8890549035200221, 1.686790164626106]"
105,"[105, 105, 105, 105]","[19, 158, 311, 533]","[15.981675649886226, 24.653260906023462, 45.44639147206908, 71.89914708434446]","[38.39063067780723, 0.9263427279081072, 0.8545555447996683, 1.6939455611858356]"
106,"[106, 106, 106, 106]","[19, 159, 311, 534]","[15.70284660330604, 25.874012325196077, 46.88932965165151, 71.68273321317179]","[39.18313301139947, 0.9029815360581996, 0.8654113517021362, 1.7012603180840642]"
107,"[107, 107, 107, 107]","[18, 159, 310, 534]","[15.141556447143897, 25.61054840314972, 49.05314820566991, 71.4442231288632]","[38.35859541715203, 0.8880038641766594, 0.8462163396380741, 1.70469767071676]"
108,"[108, 108, 108, 108]","[18, 159, 311, 534]","[14.861921472618945, 25.352511416521196, 55.819674169948144, 70.96166933417334]","[37.444104861227984, 0.8817138741472981, 0.8376752294524904, 1.7059791498250076]"
109,"[109, 109, 109, 109]","[18, 159, 313, 532]","[14.599568642588158, 25.324554069101907, 49.946296562947964, 71.36784756095125]","[37.4847278365691, 0.8457040271349076, 0.8519403861071653, 1.528672950941667]"
